Version	ID	Parent	AbInit	AED	Coverage	Integrity	Unique
r11	PdomMRNAr1.1-00023.1	PdomGene00023	snap	0.19	1	0.8	no
r11	PdomMRNAr1.1-00024.1	PdomGene00024	snap	0.18	1	0.35	no
r11	PdomMRNAr1.1-00025.1	PdomGene00025	snap	0.43	0	0	yes
r11	PdomMRNAr1.1-00026.1	PdomGene00026	snap	0.28	0.78	0.23	no
r11	PdomMRNAr1.1-00027.1	PdomGene00027	augustus	0.06	0.03	0.03	no
r11	PdomMRNAr1.1-00028.1	PdomGene00028	augustus	0.18	0.38	0.15	no
r11	PdomMRNAr1.1-00029.1	PdomGene00029	augustus	0.19	0.64	0.19	no
r11	PdomMRNAr1.1-00030.1	PdomGene00030	augustus	0.27	1	0.92	no
r11	PdomMRNAr1.1-00031.1	PdomGene00031	augustus	0.20	0.87	0.69	no
r11	PdomMRNAr1.1-00032.1	PdomGene00032	augustus	0.34	1	1	no
r11	PdomMRNAr1.1-00033.1	PdomGene00033	augustus	0.43	0.94	0.35	yes
r11	PdomMRNAr1.1-00034.1	PdomGene00034	augustus	0.00	1.13	0.98	no
r11	PdomMRNAr1.1-00035.1	PdomGene00035	augustus	0.00	1	0.99	no
r11	PdomMRNAr1.1-00036.1	PdomGene00036	augustus	0.08	1	0.88	no
r11	PdomMRNAr1.1-00037.1	PdomGene00037	augustus	0.10	0.29	0.17	no
r11	PdomMRNAr1.1-00038.1	PdomGene00038	snap	0.08	0.07	0.03	no
r11	PdomMRNAr1.1-00039.1	PdomGene00039	augustus	0.06	1	0.95	no
r11	PdomMRNAr1.1-00040.1	PdomGene00040	genemark	0.25	0.15	0.04	no
r11	PdomMRNAr1.1-00041.1	PdomGene00041	augustus	0.44	1	0.9	no
r11	PdomMRNAr1.1-00042.1	PdomGene00042	snap	0.42	0.97	0.56	no
r11	PdomMRNAr1.1-00043.1	PdomGene00043	augustus	0.42	1.45	1.13	no
r11	PdomMRNAr1.1-00044.1	PdomGene00044	augustus	0.49	1	0.93	no
r11	PdomMRNAr1.1-00045.1	PdomGene00045	genemark	0.46	0	0	no
r11	PdomMRNAr1.1-00046.1	PdomGene00046	augustus	0.42	0.99	0.95	no
r11	PdomMRNAr1.1-00047.1	PdomGene00047	augustus	0.02	1	0.96	no
r11	PdomMRNAr1.1-00048.1	PdomGene00048	augustus	0.02	1	0.93	no
r11	PdomMRNAr1.1-00049.1	PdomGene00049	augustus	0.05	1.01	0.96	no
r11	PdomMRNAr1.1-00050.1	PdomGene00050	genemark	0.05	0.98	0.79	no
r11	PdomMRNAr1.1-00051.1	PdomGene00051	augustus	0.08	0	0	no
r11	PdomMRNAr1.1-00052.1	PdomGene00052	snap	0.13	1	1	no
r11	PdomMRNAr1.1-00053.1	PdomGene00053	genemark	0.00	0.99	0.96	no
r11	PdomMRNAr1.1-00054.1	PdomGene00054	augustus	0.13	1	0.9	no
r11	PdomMRNAr1.1-00055.1	PdomGene00055	snap	0.22	0.99	0.91	no
r11	PdomMRNAr1.1-00056.1	PdomGene00056	augustus	0.13	1	0.81	no
r11	PdomMRNAr1.1-00057.1	PdomGene00057	augustus	0.16	0.93	0.87	no
r11	PdomMRNAr1.1-00058.1	PdomGene00058	augustus	0.26	1.04	0.91	no
r11	PdomMRNAr1.1-00059.1	PdomGene00059	augustus	0.14	0.96	0.85	no
r11	PdomMRNAr1.1-00060.1	PdomGene00060	snap	0.31	1	0.92	no
r11	PdomMRNAr1.1-00061.1	PdomGene00061	snap	0.26	0.97	0.78	no
r11	PdomMRNAr1.1-00062.1	PdomGene00062	augustus	0.21	0.02	0.01	no
r11	PdomMRNAr1.1-00063.1	PdomGene00063	augustus	0.32	1	0.9	no
r11	PdomMRNAr1.1-00064.1	PdomGene00064	augustus	0.37	1.02	1	no
r11	PdomMRNAr1.1-00065.1	PdomGene00065	genemark	0.34	0	0	no
r11	PdomMRNAr1.1-00066.1	PdomGene00066	augustus	0.49	1	0.75	no
r11	PdomMRNAr1.1-00067.1	PdomGene00067	snap	0.58	1.03	0.46	no
r11	PdomMRNAr1.1-00068.1	PdomGene00068	snap	0.82	0.23	0.07	no
r11	PdomMRNAr1.1-00069.1	PdomGene00069	snap	0.50	0.96	0.36	no
r11	PdomMRNAr1.1-00070.1	PdomGene00070	augustus	0.00	0.99	0.95	no
r11	PdomMRNAr1.1-00071.1	PdomGene00071	augustus	0.00	1.03	1.01	no
r11	PdomMRNAr1.1-00072.1	PdomGene00072	augustus	0.05	1	0.95	no
r11	PdomMRNAr1.1-00073.1	PdomGene00073	augustus	0.06	0.01	0.1	no
r11	PdomMRNAr1.1-00074.1	PdomGene00074	augustus	0.06	1	0.95	no
r11	PdomMRNAr1.1-00075.1	PdomGene00075	genemark	0.05	1	0.89	no
r11	PdomMRNAr1.1-00076.1	PdomGene00076	augustus	0.06	0.99	0.82	no
r11	PdomMRNAr1.1-00077.1	PdomGene00077	augustus	0.09	1	0.9	no
r11	PdomMRNAr1.1-00078.1	PdomGene00078	augustus	0.05	1.18	0.95	no
r11	PdomMRNAr1.1-00079.1	PdomGene00079	augustus	0.03	0.98	0.84	no
r11	PdomMRNAr1.1-00080.1	PdomGene00080	snap	0.31	0.78	0.48	no
r11	PdomMRNAr1.1-00081.1	PdomGene00081	augustus	0.13	0	0	no
r11	PdomMRNAr1.1-00082.1	PdomGene00082	augustus	0.14	0.43	0.13	yes
r11	PdomMRNAr1.1-00083.1	PdomGene00083	snap	0.10	0	0	yes
r11	PdomMRNAr1.1-00084.1	PdomGene00084	genemark	0.41	0.08	0.03	yes
r11	PdomMRNAr1.1-00085.1	PdomGene00085	augustus	0.00	0.99	1	no
r11	PdomMRNAr1.1-00086.1	PdomGene00086	augustus	0.02	0.08	0.62	no
r11	PdomMRNAr1.1-00087.1	PdomGene00087	augustus	0.02	0	0	yes
r11	PdomMRNAr1.1-00088.1	PdomGene00088	snap	0.07	0.99	0.75	no
r11	PdomMRNAr1.1-00089.1	PdomGene00089	augustus	0.06	0.98	0.82	no
r11	PdomMRNAr1.1-00090.1	PdomGene00090	augustus	0.17	1.04	0.95	no
r11	PdomMRNAr1.1-00091.1	PdomGene00091	snap	0.19	0.29	0.09	yes
r11	PdomMRNAr1.1-00092.1	PdomGene00092	genemark	0.23	0.17	0.05	no
r11	PdomMRNAr1.1-00093.1	PdomGene00093	augustus	0.23	0.98	0.74	no
r11	PdomMRNAr1.1-00094.1	PdomGene00094	snap	0.32	0.06	0.02	no
r11	PdomMRNAr1.1-00095.1	PdomGene00095	augustus	0.01	1	0.64	no
r11	PdomMRNAr1.1-00096.1	PdomGene00096	augustus	0.03	0.1	0.03	no
r11	PdomMRNAr1.1-00097.1	PdomGene00097	snap	0.22	0.15	0.05	no
r11	PdomMRNAr1.1-00098.1	PdomGene00098	augustus	0.20	1	0.84	no
r11	PdomMRNAr1.1-00099.1	PdomGene00099	snap	0.22	0.98	0.81	no
r11	PdomMRNAr1.1-00100.1	PdomGene00100	augustus	0.42	1	0.32	yes
r11	PdomMRNAr1.1-00101.1	PdomGene00101	augustus	0.00	0	0.05	no
r11	PdomMRNAr1.1-00102.1	PdomGene00102	augustus	0.07	0.71	0.56	no
r11	PdomMRNAr1.1-00103.1	PdomGene00103	augustus	0.02	0.97	0.96	no
r11	PdomMRNAr1.1-00104.1	PdomGene00104	augustus	0.09	1	0.9	no
r11	PdomMRNAr1.1-00105.1	PdomGene00105	snap	0.11	1	0.95	no
r11	PdomMRNAr1.1-00106.1	PdomGene00106	augustus	0.13	1	0.9	no
r11	PdomMRNAr1.1-00107.1	PdomGene00107	augustus	0.13	1	1	no
r11	PdomMRNAr1.1-00108.1	PdomGene00108	augustus	0.09	0.95	0.75	no
r11	PdomMRNAr1.1-00109.1	PdomGene00109	snap	0.22	1.36	0.98	no
r11	PdomMRNAr1.1-00110.1	PdomGene00110	augustus	0.34	1.39	1.12	no
r11	PdomMRNAr1.1-00111.1	PdomGene00111	genemark	0.32	0.83	0.25	yes
r11	PdomMRNAr1.1-00112.1	PdomGene00112	snap	0.38	0.2	0.06	no
r11	PdomMRNAr1.1-00113.1	PdomGene00113	snap	0.76	0.63	0.19	no
r11	PdomMRNAr1.1-00114.1	PdomGene00114	augustus	0.01	1	1	no
r11	PdomMRNAr1.1-00115.1	PdomGene00115	augustus	0.00	1.02	0.71	no
r11	PdomMRNAr1.1-00116.1	PdomGene00116	augustus	0.07	0.1	0.03	no
r11	PdomMRNAr1.1-00117.1	PdomGene00117	augustus	0.18	0.82	0.68	no
r11	PdomMRNAr1.1-00118.1	PdomGene00118	genemark	0.12	0.22	0.07	no
r11	PdomMRNAr1.1-00119.1	PdomGene00119	snap	0.15	1	0.8	no
r11	PdomMRNAr1.1-00120.1	PdomGene00120	augustus	0.35	1	0.9	no
r11	PdomMRNAr1.1-00121.1	PdomGene00121	snap	0.14	0.49	0.62	no
r11	PdomMRNAr1.1-00122.1	PdomGene00122	snap	0.49	0.98	0.34	no
r11	PdomMRNAr1.1-00123.1	PdomGene00123	augustus	0.08	1.25	0.98	no
r11	PdomMRNAr1.1-00124.1	PdomGene00124	genemark	0.69	0.91	0.27	yes
r11	PdomMRNAr1.1-00125.1	PdomGene00125	genemark	0.20	1	0.9	no
r11	PdomMRNAr1.1-00126.1	PdomGene00126	augustus	0.05	1	0.9	no
r11	PdomMRNAr1.1-00127.1	PdomGene00127	augustus	0.02	0	0	no
r11	PdomMRNAr1.1-00128.1	PdomGene00128	augustus	0.05	0.97	0.77	no
r11	PdomMRNAr1.1-00129.1	PdomGene00129	augustus	0.19	0.86	0.62	no
r11	PdomMRNAr1.1-00130.1	PdomGene00130	augustus	0.29	1	0.35	no
r11	PdomMRNAr1.1-00131.1	PdomGene00131	snap	0.15	0	0	yes
r11	PdomMRNAr1.1-00132.1	PdomGene00132	augustus	0.47	1	0.9	yes
r11	PdomMRNAr1.1-00133.1	PdomGene00133	augustus	0.06	1.01	0.96	no
r11	PdomMRNAr1.1-00134.1	PdomGene00134	augustus	0.15	1	0.96	no
r11	PdomMRNAr1.1-00135.1	PdomGene00135	augustus	0.22	0.22	0.07	no
r11	PdomMRNAr1.1-00136.1	PdomGene00136	snap	0.20	0	0	no
r11	PdomMRNAr1.1-00137.1	PdomGene00137	augustus	0.11	0.96	0.44	no
r11	PdomMRNAr1.1-00138.1	PdomGene00138	genemark	0.38	1	0.95	no
r11	PdomMRNAr1.1-00139.1	PdomGene00139	snap	0.40	0	0	no
r11	PdomMRNAr1.1-00140.1	PdomGene00140	augustus	0.45	0	0	no
r11	PdomMRNAr1.1-00141.1	PdomGene00141	snap	0.77	0.01	0	yes
r11	PdomMRNAr1.1-00142.1	PdomGene00142	augustus	0.01	0.97	0.94	no
r11	PdomMRNAr1.1-00143.1	PdomGene00143	snap	0.14	1.14	0.87	no
r11	PdomMRNAr1.1-00144.1	PdomGene00144	augustus	0.12	1	0.92	no
r11	PdomMRNAr1.1-00145.1	PdomGene00145	genemark	0.27	0.99	0.8	no
r11	PdomMRNAr1.1-00146.1	PdomGene00146	snap	0.34	0.5	0.2	no
r11	PdomMRNAr1.1-00146.2	PdomGene00146	snap	0.18	0.5	0.2	no
r11	PdomMRNAr1.1-00146.3	PdomGene00146	snap	0.46	0.5	0.2	no
r11	PdomMRNAr1.1-00147.1	PdomGene00147	snap	0.36	0.99	0.88	no
r11	PdomMRNAr1.1-00148.1	PdomGene00148	snap	0.52	0.86	0.26	yes
r11	PdomMRNAr1.1-00149.1	PdomGene00149	snap	0.64	0.36	0.11	yes
r11	PdomMRNAr1.1-00150.1	PdomGene00150	augustus	0.09	0.68	0.6	no
r11	PdomMRNAr1.1-00151.1	PdomGene00151	snap	0.66	0	0	yes
r11	PdomMRNAr1.1-00152.1	PdomGene00152	augustus	0.00	0.86	0.92	no
r11	PdomMRNAr1.1-00153.1	PdomGene00153	augustus	0.00	1	0.99	no
r11	PdomMRNAr1.1-00154.1	PdomGene00154	augustus	0.02	0.99	1	no
r11	PdomMRNAr1.1-00155.1	PdomGene00155	augustus	0.07	0.99	0.89	no
r11	PdomMRNAr1.1-00156.1	PdomGene00156	snap	0.08	0.94	0.68	no
r11	PdomMRNAr1.1-00157.1	PdomGene00157	snap	0.09	1.19	0.88	no
r11	PdomMRNAr1.1-00158.1	PdomGene00158	augustus	0.03	1.01	0.99	no
r11	PdomMRNAr1.1-00159.1	PdomGene00159	augustus	0.10	0.05	0.02	no
r11	PdomMRNAr1.1-00160.1	PdomGene00160	augustus	0.06	0.09	0.08	no
r11	PdomMRNAr1.1-00161.1	PdomGene00161	augustus	0.13	1	1	no
r11	PdomMRNAr1.1-00162.1	PdomGene00162	augustus	0.13	1	0.9	no
r11	PdomMRNAr1.1-00163.1	PdomGene00163	augustus	0.12	1	0.9	no
r11	PdomMRNAr1.1-00164.1	PdomGene00164	augustus	0.26	1	1	no
r11	PdomMRNAr1.1-00165.1	PdomGene00165	snap	0.37	1	0.55	no
r11	PdomMRNAr1.1-00166.1	PdomGene00166	augustus	0.00	0.75	0.79	no
r11	PdomMRNAr1.1-00167.1	PdomGene00167	augustus	0.00	0	0	no
r11	PdomMRNAr1.1-00168.1	PdomGene00168	augustus	0.01	0.08	0.1	no
r11	PdomMRNAr1.1-00169.1	PdomGene00169	augustus	0.02	1	1	no
r11	PdomMRNAr1.1-00170.1	PdomGene00170	augustus	0.06	1	0.86	no
r11	PdomMRNAr1.1-00171.1	PdomGene00171	augustus	0.08	1	0.95	no
r11	PdomMRNAr1.1-00172.1	PdomGene00172	augustus	0.17	1	1	no
r11	PdomMRNAr1.1-00173.1	PdomGene00173	augustus	0.06	0.1	0.03	no
r11	PdomMRNAr1.1-00174.1	PdomGene00174	genemark	0.25	1	1	no
r11	PdomMRNAr1.1-00175.1	PdomGene00175	genemark	0.22	1	0.74	no
r11	PdomMRNAr1.1-00176.1	PdomGene00176	genemark	0.28	1	0.9	no
r11	PdomMRNAr1.1-00177.1	PdomGene00177	genemark	0.12	0.94	0.71	no
r11	PdomMRNAr1.1-00178.1	PdomGene00178	augustus	0.41	0.99	0.9	no
r11	PdomMRNAr1.1-00179.1	PdomGene00179	snap	0.84	0.85	0.26	no
r11	PdomMRNAr1.1-00180.1	PdomGene00180	augustus	0.00	1	0.99	no
r11	PdomMRNAr1.1-00181.1	PdomGene00181	augustus	0.01	0.02	0.11	no
r11	PdomMRNAr1.1-00182.1	PdomGene00182	augustus	0.08	0.9	0.75	no
r11	PdomMRNAr1.1-00183.1	PdomGene00183	augustus	0.14	0.92	0.97	no
r11	PdomMRNAr1.1-00184.1	PdomGene00184	augustus	0.09	1	0.93	no
r11	PdomMRNAr1.1-00185.1	PdomGene00185	snap	0.23	1.21	1.06	no
r11	PdomMRNAr1.1-00186.1	PdomGene00186	snap	0.32	0.98	0.34	no
r11	PdomMRNAr1.1-00187.1	PdomGene00187	augustus	0.17	1	0.82	no
r11	PdomMRNAr1.1-00188.1	PdomGene00188	augustus	0.11	0.98	0.94	no
r11	PdomMRNAr1.1-00189.1	PdomGene00189	augustus	0.51	0.66	0.56	no
r11	PdomMRNAr1.1-00190.1	PdomGene00190	genemark	0.81	0	0.01	yes
r11	PdomMRNAr1.1-00191.1	PdomGene00191	augustus	0.00	1	1	no
r11	PdomMRNAr1.1-00192.1	PdomGene00192	augustus	0.01	0.99	0.96	no
r11	PdomMRNAr1.1-00193.1	PdomGene00193	snap	0.10	1	1	no
r11	PdomMRNAr1.1-00194.1	PdomGene00194	augustus	0.06	0.98	0.98	no
r11	PdomMRNAr1.1-00195.1	PdomGene00195	augustus	0.06	1	1	no
r11	PdomMRNAr1.1-00196.1	PdomGene00196	snap	0.09	0.98	0.79	no
r11	PdomMRNAr1.1-00197.1	PdomGene00197	augustus	0.10	0.99	0.83	no
r11	PdomMRNAr1.1-00198.1	PdomGene00198	augustus	0.25	0.64	0.74	no
r11	PdomMRNAr1.1-00199.1	PdomGene00199	augustus	0.30	1	0.98	no
r11	PdomMRNAr1.1-00200.1	PdomGene00200	augustus	0.22	0.98	0.76	no
r11	PdomMRNAr1.1-00201.1	PdomGene00201	snap	0.87	0.97	0.29	no
r11	PdomMRNAr1.1-00202.1	PdomGene00202	genemark	0.47	0.22	0.07	yes
r11	PdomMRNAr1.1-00203.1	PdomGene00203	snap	0.84	0.16	0.05	yes
r11	PdomMRNAr1.1-00204.1	PdomGene00204	snap	0.47	0	0	yes
r11	PdomMRNAr1.1-00205.1	PdomGene00205	augustus	0.01	1	1	no
r11	PdomMRNAr1.1-00206.1	PdomGene00206	genemark	0.04	0.97	0.29	no
r11	PdomMRNAr1.1-00207.1	PdomGene00207	augustus	0.04	0.19	0.06	no
r11	PdomMRNAr1.1-00208.1	PdomGene00208	genemark	0.07	0.96	0.97	no
r11	PdomMRNAr1.1-00209.1	PdomGene00209	augustus	0.10	1	1	no
r11	PdomMRNAr1.1-00210.1	PdomGene00210	genemark	0.11	1	0.91	no
r11	PdomMRNAr1.1-00211.1	PdomGene00211	augustus	0.60	0.63	0.19	no
r11	PdomMRNAr1.1-00212.1	PdomGene00212	augustus	0.03	0.93	0.98	no
r11	PdomMRNAr1.1-00213.1	PdomGene00213	snap	0.03	0.97	0.29	no
r11	PdomMRNAr1.1-00214.1	PdomGene00214	augustus	0.07	0.76	0.23	no
r11	PdomMRNAr1.1-00215.1	PdomGene00215	augustus	0.12	0.99	0.9	no
r11	PdomMRNAr1.1-00216.1	PdomGene00216	augustus	0.08	1	1	no
r11	PdomMRNAr1.1-00217.1	PdomGene00217	snap	0.55	0	0	no
r11	PdomMRNAr1.1-00218.1	PdomGene00218	snap	0.04	0.92	0.28	yes
r11	PdomMRNAr1.1-00219.1	PdomGene00219	snap	0.90	0.84	0.25	yes
r11	PdomMRNAr1.1-00220.1	PdomGene00220	augustus	0.17	1	0.76	no
r11	PdomMRNAr1.1-00221.1	PdomGene00221	snap	0.00	0.53	0.16	yes
r11	PdomMRNAr1.1-00222.1	PdomGene00222	augustus	0.01	1	0.75	no
r11	PdomMRNAr1.1-00223.1	PdomGene00223	augustus	0.07	1	0.75	no
r11	PdomMRNAr1.1-00224.1	PdomGene00224	snap	0.64	0.46	0.14	no
r11	PdomMRNAr1.1-00225.1	PdomGene00225	augustus	0.01	0.98	0.99	no
r11	PdomMRNAr1.1-00226.1	PdomGene00226	augustus	0.01	1	1	no
r11	PdomMRNAr1.1-00227.1	PdomGene00227	augustus	0.01	1	0.98	no
r11	PdomMRNAr1.1-00228.1	PdomGene00228	augustus	0.01	0.94	0.53	no
r11	PdomMRNAr1.1-00229.1	PdomGene00229	augustus	0.03	1.18	1.05	no
r11	PdomMRNAr1.1-00230.1	PdomGene00230	augustus	0.06	0.94	0.98	no
r11	PdomMRNAr1.1-00231.1	PdomGene00231	augustus	0.08	0.99	0.86	no
r11	PdomMRNAr1.1-00232.1	PdomGene00232	augustus	0.08	1	0.98	no
r11	PdomMRNAr1.1-00233.1	PdomGene00233	snap	0.08	0.99	0.88	no
r11	PdomMRNAr1.1-00234.1	PdomGene00234	augustus	0.06	0.86	0.6	yes
r11	PdomMRNAr1.1-00235.1	PdomGene00235	genemark	0.09	1	0.96	no
r11	PdomMRNAr1.1-00236.1	PdomGene00236	augustus	0.10	1	0.99	no
r11	PdomMRNAr1.1-00237.1	PdomGene00237	snap	0.01	0.78	0.58	no
r11	PdomMRNAr1.1-00238.1	PdomGene00238	augustus	0.14	1	0.85	no
r11	PdomMRNAr1.1-00239.1	PdomGene00239	augustus	0.14	0.99	0.83	no
r11	PdomMRNAr1.1-00240.1	PdomGene00240	snap	0.14	1	0.9	no
r11	PdomMRNAr1.1-00241.1	PdomGene00241	augustus	0.20	1.18	1.05	no
r11	PdomMRNAr1.1-00242.1	PdomGene00242	genemark	0.11	0.73	0.62	no
r11	PdomMRNAr1.1-00243.1	PdomGene00243	augustus	0.18	1	0.94	no
r11	PdomMRNAr1.1-00244.1	PdomGene00244	augustus	0.25	1.22	1.07	no
r11	PdomMRNAr1.1-00245.1	PdomGene00245	snap	0.25	1	0.86	no
r11	PdomMRNAr1.1-00246.1	PdomGene00246	snap	0.31	1	0.3	no
r11	PdomMRNAr1.1-00247.1	PdomGene00247	augustus	0.26	1	0.93	no
r11	PdomMRNAr1.1-00248.1	PdomGene00248	snap	0.39	0.99	0.78	no
r11	PdomMRNAr1.1-00249.1	PdomGene00249	augustus	0.43	1	0.9	no
r11	PdomMRNAr1.1-00250.1	PdomGene00250	genemark	0.40	0.78	0.53	no
r11	PdomMRNAr1.1-00251.1	PdomGene00251	snap	0.44	0.94	0.96	no
r11	PdomMRNAr1.1-00252.1	PdomGene00252	snap	0.44	1	0.7	no
r11	PdomMRNAr1.1-00253.1	PdomGene00253	augustus	0.49	0.08	0.02	no
r11	PdomMRNAr1.1-00254.1	PdomGene00254	augustus	0.49	0	0.4	no
r11	PdomMRNAr1.1-00255.1	PdomGene00255	genemark	0.47	1	0.34	no
r11	PdomMRNAr1.1-00256.1	PdomGene00256	augustus	0.22	0.35	0.1	no
r11	PdomMRNAr1.1-00257.1	PdomGene00257	snap	0.57	0.62	0.48	no
r11	PdomMRNAr1.1-00258.1	PdomGene00258	genemark	0.42	0.42	0.12	no
r11	PdomMRNAr1.1-00259.1	PdomGene00259	snap	0.72	0.08	0.02	no
r11	PdomMRNAr1.1-00260.1	PdomGene00260	snap	0.00	1	0.99	no
r11	PdomMRNAr1.1-00261.1	PdomGene00261	augustus	0.03	1	1	no
r11	PdomMRNAr1.1-00262.1	PdomGene00262	snap	0.02	1	0.92	no
r11	PdomMRNAr1.1-00263.1	PdomGene00263	augustus	0.06	1.11	1.01	no
r11	PdomMRNAr1.1-00264.1	PdomGene00264	snap	0.06	0.99	0.95	no
r11	PdomMRNAr1.1-00265.1	PdomGene00265	augustus	0.02	0	0	no
r11	PdomMRNAr1.1-00266.1	PdomGene00266	augustus	0.06	0.97	0.93	no
r11	PdomMRNAr1.1-00267.1	PdomGene00267	augustus	0.11	1	0.98	no
r11	PdomMRNAr1.1-00268.1	PdomGene00268	augustus	0.11	1	0.86	no
r11	PdomMRNAr1.1-00269.1	PdomGene00269	augustus	0.13	1	0.92	no
r11	PdomMRNAr1.1-00270.1	PdomGene00270	augustus	0.14	1	0.94	no
r11	PdomMRNAr1.1-00271.1	PdomGene00271	augustus	0.02	0.05	0.01	no
r11	PdomMRNAr1.1-00272.1	PdomGene00272	augustus	0.11	1.12	1.04	no
r11	PdomMRNAr1.1-00273.1	PdomGene00273	augustus	0.15	1.09	0.93	no
r11	PdomMRNAr1.1-00274.1	PdomGene00274	augustus	0.19	0.96	0.9	no
r11	PdomMRNAr1.1-00275.1	PdomGene00275	snap	0.28	1	0.6	no
r11	PdomMRNAr1.1-00276.1	PdomGene00276	augustus	0.18	0	0	no
r11	PdomMRNAr1.1-00277.1	PdomGene00277	augustus	0.22	1	0.9	no
r11	PdomMRNAr1.1-00278.1	PdomGene00278	augustus	0.22	1	0.8	no
r11	PdomMRNAr1.1-00279.1	PdomGene00279	augustus	0.25	1	0.85	no
r11	PdomMRNAr1.1-00280.1	PdomGene00280	augustus	0.06	1.13	0.94	no
r11	PdomMRNAr1.1-00281.1	PdomGene00281	augustus	0.39	1.01	1	no
r11	PdomMRNAr1.1-00282.1	PdomGene00282	augustus	0.42	0.99	0.99	no
r11	PdomMRNAr1.1-00283.1	PdomGene00283	augustus	0.36	0	0	no
r11	PdomMRNAr1.1-00284.1	PdomGene00284	augustus	0.11	1	0.63	no
r11	PdomMRNAr1.1-00285.1	PdomGene00285	augustus	0.20	1	0.45	no
r11	PdomMRNAr1.1-00286.1	PdomGene00286	snap	0.33	1	0.31	no
r11	PdomMRNAr1.1-00287.1	PdomGene00287	snap	0.57	1	0.35	no
r11	PdomMRNAr1.1-00288.1	PdomGene00288	snap	0.07	1	1	no
r11	PdomMRNAr1.1-00289.1	PdomGene00289	augustus	0.08	1	1	no
r11	PdomMRNAr1.1-00290.1	PdomGene00290	augustus	0.11	1	0.63	no
r11	PdomMRNAr1.1-00291.1	PdomGene00291	genemark	0.10	1	0.97	no
r11	PdomMRNAr1.1-00292.1	PdomGene00292	augustus	0.05	0.15	0.09	yes
r11	PdomMRNAr1.1-00293.1	PdomGene00293	augustus	0.15	0.87	0.76	no
r11	PdomMRNAr1.1-00294.1	PdomGene00294	augustus	0.03	1.01	0.93	no
r11	PdomMRNAr1.1-00295.1	PdomGene00295	augustus	0.06	0.94	0.86	no
r11	PdomMRNAr1.1-00296.1	PdomGene00296	augustus	0.09	0.99	0.91	no
r11	PdomMRNAr1.1-00297.1	PdomGene00297	augustus	0.13	0.5	0.37	no
r11	PdomMRNAr1.1-00298.1	PdomGene00298	augustus	0.27	1	0.94	no
r11	PdomMRNAr1.1-00299.1	PdomGene00299	genemark	0.42	0	0	no
r11	PdomMRNAr1.1-00300.1	PdomGene00300	genemark	0.34	1	0.9	no
r11	PdomMRNAr1.1-00301.1	PdomGene00301	snap	0.30	1	0.35	no
r11	PdomMRNAr1.1-00302.1	PdomGene00302	snap	0.76	0.32	0.1	yes
r11	PdomMRNAr1.1-00303.1	PdomGene00303	snap	0.96	0.84	0.25	yes
r11	PdomMRNAr1.1-00304.1	PdomGene00304	augustus	0.07	0.83	0.95	no
r11	PdomMRNAr1.1-00305.1	PdomGene00305	augustus	0.03	0.99	0.96	no
r11	PdomMRNAr1.1-00306.1	PdomGene00306	augustus	0.13	1.02	1	no
r11	PdomMRNAr1.1-00307.1	PdomGene00307	snap	0.07	0.94	0.92	no
r11	PdomMRNAr1.1-00308.1	PdomGene00308	augustus	0.05	1	0.96	no
r11	PdomMRNAr1.1-00309.1	PdomGene00309	snap	0.13	1	0.84	no
